id,title,category1,T5_rank,T5_S_scale,T5_S_score
20732379,বাস-ট্রেন-লঞ্চে অতিরিক্ত যাত্রী পরিবহন করলেই ব্যবস্থা-স্বরাষ্ট্রমন্ত্রী,রাজনীতি,1,1.0,100.0
20729941,"

আ’লীগ দেশকে দাসত্বের দিকে নিয়ে গেছে : আমিনুল হক
",রাজনীতি,1,1.0,100.0
20725414,"

দক্ষিণ কোরিয়া যাচ্ছেন সিইসি হাবিবুল আউয়াল
",রাজনীতি,1,1.0,100.0
20730021,সন্ত্রাস ছাড়া সরকার টিকতে পারবে না: গয়েশ্বর,রাজনীতি,1,1.0,100.0
20725412,"

 উপজেলা নির্বাচন বিধি সংশোধন চায় সাংস্কৃতিক মুক্তিজোট
",রাজনীতি,1,1.0,100.0
20730023,নির্যাতন করে বিএনপিকে দমিয়ে রাখা যাবে না: আমিনুল,রাজনীতি,1,1.0,100.0
20730026,খালেদা জিয়াকে হাসপাতালে দেখতে ফখরুল-আব্বাস,রাজনীতি,1,1.0,100.0
20730202,"

ইসরাইলে আল জাজিরা বন্ধ করতে চাচ্ছেন নেতানিয়াহু
",রাজনীতি,1,1.0,100.0
20725737,ছাত্রলীগ জোর করে বিশ্ববিদ্যালয় দখলের চেষ্টা করছে,রাজনীতি,1,1.0,100.0
20725726,কুমিল্লায় বিএনপি’র ইফতার মাহফিল অনুষ্ঠিত,রাজনীতি,1,1.0,100.0
20725739,ঝাঁঝালো বক্তব্য দিয়ে রাজনীতিতে নামলেন সুনীতা কেজরিওয়াল,রাজনীতি,1,1.0,100.0
20726937,"

তুরস্কে স্থানীয় নির্বাচন : ইস্তাম্বুল ও আংকারায় বিরোধীদের জয়ের দাবি
",রাজনীতি,1,1.0,100.0
20730206,"

লাভলী রহমানের মৃত্যু, বিএনপির শোক
",রাজনীতি,1,1.0,100.0
20730208,"

আওয়ামী লীগ রাষ্ট্রীয় ক্ষমতা সম্পূর্ণ কুক্ষিগত করে ফেলেছে : সালাম
",রাজনীতি,1,1.0,100.0
20725392,"

বকশিগঞ্জে স্বামী-স্ত্রীর ঝগড়া থামাতে দায়ের কোপে মা নিহত 
",রাজনীতি,1,1.0,100.0
20730215,ইতিহাসের পাতায় ‘স্বৈরশাসক’ হিসেবে আরওয়ামী লীগের নাম লিপিবদ্ধ থাকবে : সালাম,রাজনীতি,1,1.0,100.0
20725743,‘ইন্ডিয়া জোট আমি তৈরি করেছি নামটাও আমার দেয়া ভোটের পর ওটা দেখে নেবো’,রাজনীতি,1,1.0,100.0
20725388,"

 সৈয়দপুর পৌর মেয়রের অপসারণ দাবি
",রাজনীতি,1,1.0,100.0
20730650,"

ভুয়া ও এই ডামি নির্বাচন জনগণ প্রত্যাখ্যান করেছে : সাবেক স্বরাষ্ট্রমন্ত্রী
",রাজনীতি,1,1.0,100.0
20730204,"

লেখাপড়ার স্বার্থে রাজনীতি বন্ধ রাখবে কি না এ সিদ্ধান্ত বুয়েটের : গয়েশ্বর রায়
",রাজনীতি,1,1.0,100.0
20729938,"

গোবিন্দগঞ্জে সড়ক দুর্ঘটনায় নিহত ৪ পরিবারকে জামায়াতের আর্থিক সহায়তা প্রদান
",রাজনীতি,1,1.0,100.0
20727108,তুরস্কের স্থানীয় সরকার নির্বাচনে এরদোগানের প্রার্থীদের পরাজয়,রাজনীতি,1,1.0,100.0
20727110,"বিক্ষোভে উত্তাল ইসরাইল, নেতানিয়াহুর পদত্যাগ দাবি",রাজনীতি,1,1.0,100.0
20725454,"

সরকার জিয়াউর রহমানের নাম মুছে ফেলার চক্রান্ত করছে : মির্জা ফখরুল
",রাজনীতি,1,1.0,100.0
20728696,"বেনজীরের সম্পদ বিস্ময়কর বিষয় নয়, এই রকম ঘটনা এখন স্বাভাবিক",রাজনীতি,1,1.0,100.0
20725457,"

রাজাপুর থানায় সাংবাদিককে লাঞ্ছিত করার প্রতিবাদে মানববন্ধন
",রাজনীতি,1,1.0,100.0
20725446,"

তুরস্কে প্রধান নগরীগুলোতে জয়ের পথে বিরোধী দল
",রাজনীতি,1,1.0,100.0
20729613,কেজরিওয়ালকে ২ সপ্তাহের জন্য জেলে পাঠালো আদালত,রাজনীতি,1,1.0,100.0
20725458,"

পান্নুন হত্যাচেষ্টা : তৃতীয় পক্ষের পরামর্শ নাকচ করল ভারত
",রাজনীতি,1,1.0,100.0
20729614,"‘মোদি থামবে না, দুর্নীতির বিরুদ্ধে অভিযান চলবে’",রাজনীতি,1,1.0,100.0
20725441,"

তুরস্কে স্থানীয় নির্বাচনে ভোট গ্রহণ
",রাজনীতি,1,1.0,100.0
20725460,"

সরকারি অনুষ্ঠানে লাল গালিচা নয় : শাহবাজ
",রাজনীতি,1,1.0,100.0
20725439,"

জামায়াত-অজামায়াত কিছুই বুঝি না, বুঝি প্রার্থী প্রার্থীই : ইসি রাশেদা সুলতানা 
",রাজনীতি,1,1.0,100.0
20725438,"

সোহেল ও অমিতসহ বিএনপির ৫২ নেতা কারাগারে
",রাজনীতি,1,1.0,100.0
20728165,"

৯ এপ্রিলের ছুটির সুপারিশ নাকচ
",রাজনীতি,1,1.0,100.0
20725464,"

খালেদা জিয়াকে চিকিৎসা জন্য বিদেশে পাঠানোর আহ্বান জামায়াতের
",রাজনীতি,1,1.0,100.0
20728164,"

দ্বিতীয় ধাপে ১৬১ উপজেলা নির্বাচনের তফসিল ঘোষণা
",রাজনীতি,1,1.0,100.0
20728163,"

যুদ্ধবিরতির আলোচনায় প্রতিনিধিদল পাঠানো নিয়ে দ্বিধাদ্বন্দ্বে হামাস
",রাজনীতি,1,1.0,100.0
20728161,"

নির্বিঘ্নে ভোট দেয়ার পরিবেশ নিশ্চিতে আন্দোলন থেমে নেই : রিজভী
",রাজনীতি,1,1.0,100.0
20729928,"

সরকার ত্রাসের রাজত্ব কায়েম করে নাই : কাদের
",রাজনীতি,1,1.0,100.0
20727271,যশোরে বিএনপির ৪৩ নেতাকর্মীকে কারাগারে প্রেরণ,রাজনীতি,1,1.0,100.0
