id,title,body_len,T3_rank,T3_S_scale,T3_S_score
20729604,"

চীনের অর্থনীতিতে এখন ঠিক কী চলছে!
",1921,1.0,1.0,100.0
20728696,"বেনজীরের সম্পদ বিস্ময়কর বিষয় নয়, এই রকম ঘটনা এখন স্বাভাবিক",1666,2.0,0.8645778013807753,86.45778013807754
20732365,"

কেজরিওয়ালের গ্রেফতার কি ভারতের বিরোধী জোটকে এককাট্টা করতে পারবে?
",1394,3.0,0.7201274561869357,72.01274561869357
20732370,"

কেজরিওয়ালের গ্রেফতার কি ভারতের বিরোধী জোটকে এককাট্টা করতে পারবে?
",1394,3.0,0.7201274561869357,72.01274561869357
20725797,ক্ষমতা দেখিয়ে বুয়েটে ছাত্রলীগ,1321,5.0,0.6813595326606479,68.13595326606479
20725467,"

অর্থনীতির জন্য এই মুহূর্তের বিবেচনা
",1234,6.0,0.6351566648964418,63.51566648964418
20725379,"

অর্থনীতির জন্য এই মুহূর্তের বিবেচনা
",1232,7.0,0.6340945300053107,63.409453000531066
20725435,"

 কৃষি বিপণন অধিদফতরের ব্যর্থতায় ভুগছেন কৃষক ও ভোক্তা
",1204,8.0,0.6192246415294742,61.92246415294742
20732369,"

সিলেটের শিলাবৃষ্টির আকার কি অস্বাভাবিক?
",1108,9.0,0.5682421667551779,56.82421667551779
20727269,কেন আয়ারল্যান্ড ইউরোপের মধ্যে সবচেয়ে ফিলিস্তিনপন্থী,1041,10.0,0.5326606479022836,53.26606479022836
20725363,"

ইসলামে পানির গুরুত্ব 
",970,11.0,0.4949548592671269,49.49548592671269
20725362,"

বদর যুদ্ধ যা শিক্ষণীয় 
",865,12.0,0.4391927774827403,43.919277748274034
20728694,নেপালের হোকসি যেভাবে কিডনি ভ্যালি,855,13.0,0.43388210302708446,43.388210302708444
20725450,"

ক্যাম্পাসে নারী শিক্ষার্থীর নিরাপত্তা
",829,14.0,0.4200743494423792,42.00743494423792
20725459,"

ক্যাম্পাসে নারী শিক্ষার্থীর নিরাপত্তা
",826,15.0,0.4184811471056824,41.84811471056824
